,Station_id, Avg June Temp,Date
456,USC00513117,77.0,2017-06-15
457,USC00513117,76.0,2017-06-16
458,USC00513117,77.0,2017-06-17
459,USC00513117,72.0,2017-06-18
460,USC00513117,77.0,2017-06-19
461,USC00513117,75.0,2017-06-20
462,USC00513117,82.0,2017-06-21
463,USC00513117,77.0,2017-06-22
464,USC00513117,76.0,2017-06-23
465,USC00513117,74.0,2017-06-24
466,USC00513117,73.0,2017-06-25
467,USC00513117,77.0,2017-06-26
468,USC00513117,77.0,2017-06-27
469,USC00513117,77.0,2017-06-28
470,USC00513117,76.0,2017-06-29
471,USC00513117,74.0,2017-06-30
472,USC00513117,73.0,2010-06-01
473,USC00513117,72.0,2010-06-02
474,USC00513117,74.0,2010-06-03
475,USC00513117,73.0,2010-06-04
476,USC00513117,72.0,2010-06-05
477,USC00513117,75.0,2010-06-06
478,USC00513117,74.0,2010-06-07
479,USC00513117,75.0,2010-06-08
480,USC00513117,73.0,2010-06-09
481,USC00513117,75.0,2010-06-10
482,USC00513117,76.0,2010-06-11
483,USC00513117,74.0,2010-06-12
484,USC00513117,74.0,2010-06-13
485,USC00513117,73.0,2010-06-14
486,USC00513117,73.0,2010-06-15
487,USC00513117,76.0,2010-06-16
488,USC00513117,75.0,2010-06-17
489,USC00513117,70.0,2010-06-18
490,USC00513117,75.0,2010-06-19
491,USC00513117,73.0,2010-06-20
492,USC00513117,74.0,2010-06-21
493,USC00513117,74.0,2010-06-22
494,USC00513117,74.0,2010-06-23
495,USC00513117,74.0,2010-06-24
496,USC00513117,70.0,2010-06-25
497,USC00513117,75.0,2010-06-27
498,USC00513117,74.0,2010-06-28
499,USC00513117,73.0,2010-06-29
500,USC00513117,74.0,2010-06-30
501,USC00513117,72.0,2011-06-01
502,USC00513117,73.0,2011-06-02
503,USC00513117,67.0,2011-06-03
504,USC00513117,69.0,2011-06-04
505,USC00513117,76.0,2011-06-05
506,USC00513117,73.0,2011-06-06
507,USC00513117,70.0,2011-06-07
508,USC00513117,72.0,2011-06-08
509,USC00513117,74.0,2011-06-09
510,USC00513117,72.0,2011-06-10
511,USC00513117,72.0,2011-06-13
512,USC00513117,75.0,2011-06-14
513,USC00513117,73.0,2011-06-15
514,USC00513117,73.0,2011-06-16
515,USC00513117,72.0,2011-06-17
516,USC00513117,74.0,2011-06-18
517,USC00513117,76.0,2011-06-19
518,USC00513117,72.0,2011-06-21
519,USC00513117,74.0,2011-06-22
520,USC00513117,70.0,2011-06-23
521,USC00513117,74.0,2011-06-24
522,USC00513117,74.0,2011-06-25
523,USC00513117,74.0,2011-06-27
524,USC00513117,71.0,2011-06-28
525,USC00513117,75.0,2012-06-21
526,USC00513117,75.0,2012-06-22
527,USC00513117,76.0,2012-06-24
528,USC00513117,77.0,2012-06-25
529,USC00513117,75.0,2012-06-26
530,USC00513117,74.0,2012-06-27
531,USC00513117,75.0,2012-06-28
532,USC00513117,76.0,2012-06-29
533,USC00513117,78.0,2012-06-30
534,USC00513117,78.0,2013-06-03
535,USC00513117,76.0,2013-06-04
536,USC00513117,78.0,2013-06-05
537,USC00513117,76.0,2013-06-06
538,USC00513117,76.0,2013-06-07
539,USC00513117,78.0,2013-06-08
540,USC00513117,79.0,2013-06-09
541,USC00513117,77.0,2013-06-10
542,USC00513117,76.0,2013-06-11
543,USC00513117,77.0,2013-06-12
544,USC00513117,77.0,2013-06-13
545,USC00513117,76.0,2013-06-14
546,USC00513117,78.0,2013-06-16
547,USC00513117,76.0,2013-06-17
548,USC00513117,76.0,2013-06-18
549,USC00513117,77.0,2013-06-19
550,USC00513117,71.0,2013-06-20
551,USC00513117,74.0,2013-06-25
552,USC00513117,72.0,2013-06-26
553,USC00513117,77.0,2013-06-27
554,USC00513117,77.0,2014-06-01
555,USC00513117,78.0,2014-06-02
556,USC00513117,77.0,2014-06-03
557,USC00513117,77.0,2014-06-04
558,USC00513117,76.0,2014-06-05
559,USC00513117,75.0,2014-06-06
560,USC00513117,79.0,2014-06-07
561,USC00513117,75.0,2014-06-09
562,USC00513117,73.0,2014-06-10
563,USC00513117,76.0,2014-06-11
564,USC00513117,78.0,2014-06-12
565,USC00513117,77.0,2014-06-13
566,USC00513117,78.0,2014-06-14
567,USC00513117,76.0,2014-06-16
568,USC00513117,75.0,2014-06-17
569,USC00513117,76.0,2014-06-18
570,USC00513117,77.0,2014-06-19
571,USC00513117,74.0,2014-06-20
572,USC00513117,78.0,2014-06-21
573,USC00513117,77.0,2014-06-23
574,USC00513117,77.0,2014-06-24
575,USC00513117,74.0,2014-06-25
576,USC00513117,74.0,2014-06-26
577,USC00513117,78.0,2014-06-27
578,USC00513117,79.0,2014-06-29
579,USC00513117,79.0,2014-06-30
580,USC00513117,78.0,2015-06-01
581,USC00513117,75.0,2015-06-03
582,USC00513117,76.0,2015-06-04
583,USC00513117,78.0,2015-06-05
584,USC00513117,78.0,2015-06-06
585,USC00513117,74.0,2015-06-08
586,USC00513117,78.0,2015-06-09
587,USC00513117,77.0,2015-06-10
588,USC00513117,76.0,2015-06-11
589,USC00513117,78.0,2015-06-12
590,USC00513117,78.0,2015-06-14
591,USC00513117,78.0,2015-06-15
592,USC00513117,78.0,2015-06-16
593,USC00513117,74.0,2015-06-17
594,USC00513117,79.0,2015-06-18
595,USC00513117,77.0,2015-06-19
596,USC00513117,73.0,2015-06-20
597,USC00513117,79.0,2015-06-21
598,USC00513117,79.0,2015-06-22
599,USC00513117,78.0,2015-06-23
600,USC00513117,77.0,2015-06-24
601,USC00513117,78.0,2015-06-25
602,USC00513117,78.0,2015-06-26
603,USC00513117,80.0,2015-06-27
604,USC00513117,80.0,2015-06-28
605,USC00513117,79.0,2015-06-29
606,USC00513117,74.0,2015-06-30
607,USC00513117,71.0,2016-06-01
608,USC00513117,74.0,2016-06-02
609,USC00513117,75.0,2016-06-03
610,USC00513117,75.0,2016-06-07
611,USC00513117,74.0,2016-06-08
612,USC00513117,76.0,2016-06-09
613,USC00513117,75.0,2016-06-10
614,USC00513117,77.0,2016-06-11
615,USC00513117,77.0,2016-06-12
616,USC00513117,79.0,2016-06-13
617,USC00513117,79.0,2016-06-14
618,USC00513117,78.0,2016-06-15
619,USC00513117,79.0,2016-06-16
620,USC00513117,73.0,2016-06-17
621,USC00513117,78.0,2016-06-18
622,USC00513117,79.0,2016-06-19
623,USC00513117,80.0,2016-06-20
624,USC00513117,76.0,2016-06-21
625,USC00513117,79.0,2016-06-22
626,USC00513117,79.0,2016-06-23
627,USC00513117,77.0,2016-06-24
628,USC00513117,80.0,2016-06-25
629,USC00513117,79.0,2016-06-26
630,USC00513117,78.0,2016-06-27
631,USC00513117,78.0,2016-06-28
632,USC00513117,79.0,2016-06-29
633,USC00513117,78.0,2016-06-30
634,USC00513117,81.0,2017-06-01
635,USC00513117,78.0,2017-06-02
636,USC00513117,80.0,2017-06-03
637,USC00513117,79.0,2017-06-04
638,USC00513117,81.0,2017-06-05
639,USC00513117,80.0,2017-06-06
640,USC00513117,81.0,2017-06-07
641,USC00513117,79.0,2017-06-08
642,USC00513117,81.0,2017-06-09
643,USC00513117,78.0,2017-06-10
644,USC00513117,79.0,2017-06-11
645,USC00513117,79.0,2017-06-12
646,USC00513117,75.0,2017-06-13
647,USC00513117,79.0,2017-06-14
648,USC00513117,78.0,2017-06-15
649,USC00513117,80.0,2017-06-16
650,USC00513117,78.0,2017-06-17
651,USC00513117,77.0,2017-06-18
652,USC00513117,78.0,2017-06-19
653,USC00513117,79.0,2017-06-20
654,USC00513117,76.0,2017-06-23
655,USC00513117,80.0,2017-06-26
656,USC00513117,76.0,2017-06-29
657,USC00513117,81.0,2017-06-30
658,USC00513117,77.0,2010-06-01
659,USC00513117,76.0,2010-06-02
660,USC00513117,77.0,2010-06-03
661,USC00513117,75.0,2010-06-04
662,USC00513117,76.0,2010-06-07
663,USC00513117,79.0,2010-06-08
664,USC00513117,79.0,2010-06-09
665,USC00513117,77.0,2010-06-10
666,USC00513117,76.0,2010-06-15
667,USC00513117,77.0,2010-06-16
668,USC00513117,76.0,2010-06-17
669,USC00513117,73.0,2010-06-18
670,USC00513117,76.0,2010-06-21
671,USC00513117,77.0,2010-06-22
672,USC00513117,77.0,2010-06-23
673,USC00513117,78.0,2010-06-24
674,USC00513117,77.0,2010-06-25
675,USC00513117,76.0,2010-06-28
676,USC00513117,78.0,2010-06-29
677,USC00513117,78.0,2010-06-30
678,USC00513117,75.0,2011-06-01
679,USC00513117,77.0,2011-06-02
680,USC00513117,65.0,2011-06-03
681,USC00513117,76.0,2011-06-06
682,USC00513117,74.0,2011-06-07
